mesh,h_3d,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv10,0.921007874660096,conservative.rho.dx,0.012610366245742877,0.041957239883584,0.2721545878996943,,,
iv10,0.921007874660096,conservative.rho.dy,0.012795676675642497,0.042037999958565955,0.27605169072378344,,,
iv10,0.921007874660096,conservative.rho.dz,0.0003565563568332233,0.0010035990635424723,0.00916753582476488,,,
iv10,0.921007874660096,conservative.rho.gradient,0.019537706556140302,0.059402109644736925,0.2856790810990173,,,
iv10,0.921007874660096,conservative.rho.value,0.0012711828173328752,0.003638114539796489,0.017091037412003907,,,
iv10,0.921007874660096,conservative.rhoE.dx,0.08148803123499308,0.23510751955460804,1.681285224455256,,,
iv10,0.921007874660096,conservative.rhoE.dy,0.0831658921662204,0.23603785089695314,1.665207679262609,,,
iv10,0.921007874660096,conservative.rhoE.dz,0.0021335495984643412,0.005677877732914475,0.04833148831623292,,,
iv10,0.921007874660096,conservative.rhoE.gradient,0.12676999347526516,0.3331991162994321,1.7771588059769698,,,
iv10,0.921007874660096,conservative.rhoE.value,0.006910044060406239,0.018206076101365796,0.0886468559164002,,,
iv10,0.921007874660096,conservative.rhou.dx,0.02789096597108217,0.0648414987760813,0.28445755411326523,,,
iv10,0.921007874660096,conservative.rhou.dy,0.04198674702983498,0.09744878731191509,0.5515712227875468,,,
iv10,0.921007874660096,conservative.rhou.dz,0.0009444583766578426,0.0020084810333074834,0.00939113585206498,,,
iv10,0.921007874660096,conservative.rhou.gradient,0.055848749037989046,0.11706716067348924,0.5571890834460985,,,
iv10,0.921007874660096,conservative.rhou.value,0.002392154347027146,0.005051249228303021,0.025017966122916846,,,
iv10,0.921007874660096,conservative.rhov.dx,0.04194341821202249,0.09790957763800433,0.5668399867658755,,,
iv10,0.921007874660096,conservative.rhov.dy,0.028113609478635084,0.06494354734482075,0.2777160569650838,,,
iv10,0.921007874660096,conservative.rhov.dz,0.0009438866816999673,0.0020009822161010603,0.009204162664124924,,,
iv10,0.921007874660096,conservative.rhov.gradient,0.05587775926706313,0.11750724941385755,0.5724594743381466,,,
iv10,0.921007874660096,conservative.rhov.value,0.00238660923928643,0.005085298568712329,0.0249855166102515,,,
iv10,0.921007874660096,conservative.rhow.dx,0.0,0.0,0.0,,,
iv10,0.921007874660096,conservative.rhow.dy,0.0,0.0,0.0,,,
iv10,0.921007874660096,conservative.rhow.dz,0.0,0.0,0.0,,,
iv10,0.921007874660096,conservative.rhow.gradient,0.0,0.0,0.0,,,
iv10,0.921007874660096,conservative.rhow.value,0.0,0.0,0.0,,,
iv10,0.921007874660096,primitive.p.dx,0.01574462064661153,0.060212729792410845,0.39356388773959844,,,
iv10,0.921007874660096,primitive.p.dy,0.01595843780026786,0.060285797143532875,0.3987832194558987,,,
iv10,0.921007874660096,primitive.p.dz,0.0004554699145163598,0.001495632184422025,0.015567752300948291,,,
iv10,0.921007874660096,primitive.p.gradient,0.02440768330313755,0.08521846678928312,0.4127030094731287,,,
iv10,0.921007874660096,primitive.p.value,0.0018392921199935886,0.005824435714752541,0.028384389676777644,,,
iv10,0.921007874660096,primitive.rho.dx,0.012610366245742877,0.041957239883584,0.2721545878996943,,,
iv10,0.921007874660096,primitive.rho.dy,0.012795676675642497,0.042037999958565955,0.27605169072378344,,,
iv10,0.921007874660096,primitive.rho.dz,0.0003565563568332233,0.0010035990635424723,0.00916753582476488,,,
iv10,0.921007874660096,primitive.rho.gradient,0.019537706556140302,0.059402109644736925,0.2856790810990173,,,
