mesh,h,location,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv10,0.921007874660095,quadrature_norms,jump.rho,0.006818002869770661,0.02183964146700023,0.1607503034720449,,,
iv10,0.921007874660095,quadrature_norms,jump.rhou,0.016942036034255863,0.0441388709319438,0.3398822908588208,,,
iv10,0.921007874660095,quadrature_norms,jump.rhov,0.01698244831998382,0.044339018159025564,0.3444433496198004,,,
iv10,0.921007874660095,quadrature_norms,jump.rhow,0.0,0.0,0.0,,,
iv10,0.921007874660095,quadrature_norms,jump.rhoE,0.0376952101618674,0.11357587199393947,1.1013201755280058,,,
iv10,0.921007874660095,quadrature_norms,M2.Fnum.rho,0.007129447353591239,0.02339411596877249,0.2128360648008918,,,
iv10,0.921007874660095,quadrature_norms,M2.Fnum.rhou,0.017657166429051168,0.047007647163563475,0.4617546557060246,,,
iv10,0.921007874660095,quadrature_norms,M2.Fnum.rhov,0.01768440338513452,0.0474308596193447,0.46645065760086757,,,
iv10,0.921007874660095,quadrature_norms,M2.Fnum.rhow,1.1072265962229533e-17,4.590690515110839e-17,4.440892098500626e-16,,,
iv10,0.921007874660095,quadrature_norms,M2.Fnum.rhoE,0.039048305363429216,0.11912418785721234,1.1862642163745285,,,
iv10,0.921007874660095,quadrature_norms,Roe.Fnum.rho,0.006414511955264952,0.017770574946656254,0.13217569054406264,,,
iv10,0.921007874660095,quadrature_norms,Roe.Fnum.rhou,0.01282875833385055,0.03545047465879864,0.33854172120366965,,,
iv10,0.921007874660095,quadrature_norms,Roe.Fnum.rhov,0.012761992432523555,0.035984284499130735,0.33903434406315425,,,
iv10,0.921007874660095,quadrature_norms,Roe.Fnum.rhow,1.296093603524519e-17,4.7450655246149185e-17,4.440892098500626e-16,,,
iv10,0.921007874660095,quadrature_norms,Roe.Fnum.rhoE,0.037052268376340125,0.10575877450572284,0.8775068552844312,,,
iv10,0.921007874660095,face_mean_norms,jump.rho,0.006804297693536935,0.021826747021075222,0.15630030876282414,,,
iv10,0.921007874660095,face_mean_norms,jump.rhou,0.016935061852015872,0.04411399284564378,0.33191552240655026,,,
iv10,0.921007874660095,face_mean_norms,jump.rhov,0.016976710204888185,0.04431414946744595,0.33580546541386336,,,
iv10,0.921007874660095,face_mean_norms,jump.rhow,0.0,0.0,0.0,,,
iv10,0.921007874660095,face_mean_norms,jump.rhoE,0.037685997078576464,0.11350342919947724,1.0722313375394175,,,
iv10,0.921007874660095,face_mean_norms,M2.Fnum.rho,0.007114183972681469,0.02321700700339663,0.1946304575091465,,,
iv10,0.921007874660095,face_mean_norms,M2.Fnum.rhou,0.017650115848147584,0.046714466844890064,0.41280627673522424,,,
iv10,0.921007874660095,face_mean_norms,M2.Fnum.rhov,0.017678139805913373,0.04712935171620161,0.3706721536068546,,,
iv10,0.921007874660095,face_mean_norms,M2.Fnum.rhow,2.6449420209768253e-18,6.10257820580526e-18,3.9106307933073157e-17,,,
iv10,0.921007874660095,face_mean_norms,M2.Fnum.rhoE,0.03903801962291875,0.11789758895461258,1.040008334201622,,,
iv10,0.921007874660095,face_mean_norms,Roe.Fnum.rho,0.006337386532700732,0.017402133917131767,0.10584156958443429,,,
iv10,0.921007874660095,face_mean_norms,Roe.Fnum.rhou,0.012654959503678077,0.034799681903802934,0.27109977588941725,,,
iv10,0.921007874660095,face_mean_norms,Roe.Fnum.rhov,0.012585582859978574,0.03516092262549146,0.27687614305872277,,,
iv10,0.921007874660095,face_mean_norms,Roe.Fnum.rhow,3.059854685568446e-18,7.116946890092496e-18,1.0831634805284477e-16,,,
iv10,0.921007874660095,face_mean_norms,Roe.Fnum.rhoE,0.03662112478341497,0.10325550784702839,0.6875320644876202,,,
iv20,0.46825276195257715,quadrature_norms,jump.rho,0.0014386479999837268,0.00589796888968938,0.0619990682221192,2.3000059336074914,1.9352482453232505,1.408409080495319
iv20,0.46825276195257715,quadrature_norms,jump.rhou,0.0037542760147230014,0.011498688097289312,0.11680805700353492,2.227628595817246,1.9884504357113642,1.578906007588986
iv20,0.46825276195257715,quadrature_norms,jump.rhov,0.003757981592184975,0.011481610238621652,0.1306550760032933,2.229692196896732,1.9973357220163126,1.4330016480438885
iv20,0.46825276195257715,quadrature_norms,jump.rhow,0.0,0.0,0.0,,,
iv20,0.46825276195257715,quadrature_norms,jump.rhoE,0.0086454063928062,0.03323764073207778,0.3822088282647558,2.1767793417594614,1.816496864651019,1.5644638654938432
iv20,0.46825276195257715,quadrature_norms,M2.Fnum.rho,0.001486174912908598,0.006254683117509455,0.0791588251825408,2.3179896394114983,1.950083343587714,1.462119614238152
iv20,0.46825276195257715,quadrature_norms,M2.Fnum.rhou,0.003910109064384272,0.012315548068756921,0.14349108463183646,2.2286250351080157,1.9800831876124834,1.7277595093645612
iv20,0.46825276195257715,quadrature_norms,M2.Fnum.rhov,0.003924228464227409,0.012380405247793885,0.15500205118503074,2.225575130574922,1.985568067210836,1.6286451948011236
iv20,0.46825276195257715,quadrature_norms,M2.Fnum.rhow,1.0704437303195055e-17,4.4874909967042747e-17,4.440892098500626e-16,,,
iv20,0.46825276195257715,quadrature_norms,M2.Fnum.rhoE,0.009019451700604567,0.035456173333009176,0.42544347345934685,2.1662998297353857,1.791485887869346,1.5158793083582434
iv20,0.46825276195257715,quadrature_norms,Roe.Fnum.rho,0.001440186122761371,0.004719164151607915,0.05314551308842386,2.2082455636972393,1.960073943536237,1.3468614232164464
iv20,0.46825276195257715,quadrature_norms,Roe.Fnum.rhou,0.002930164552572152,0.009640988066793182,0.13467111917933083,2.1828785978941667,1.9248919010347227,1.3626987755494737
iv20,0.46825276195257715,quadrature_norms,Roe.Fnum.rhov,0.0029439955844630904,0.009578142714031143,0.1136112235480442,2.1682035301570917,1.9566536400182775,1.616235330660991
iv20,0.46825276195257715,quadrature_norms,Roe.Fnum.rhow,1.1241721223183017e-17,4.5113919059763446e-17,4.440892098500626e-16,,,
iv20,0.46825276195257715,quadrature_norms,Roe.Fnum.rhoE,0.008823172830288576,0.03007690099844077,0.325345149010257,2.121259649898353,1.858798267252355,1.4667499090812164
iv20,0.46825276195257715,face_mean_norms,jump.rho,0.0014385381221461277,0.005896020946104191,0.06053843411408527,2.297144288196321,1.9348635059816726,1.4021528087056088
iv20,0.46825276195257715,face_mean_norms,jump.rhou,0.0037538693670633025,0.01149530197109052,0.11359059941266851,2.2271800660364653,1.9880523808595558,1.585133171769859
iv20,0.46825276195257715,face_mean_norms,jump.rhov,0.003757187497576023,0.011478148824880071,0.12768924597487868,2.2295050299883297,1.9969520878269473,1.4294000807466676
iv20,0.46825276195257715,face_mean_norms,jump.rhow,0.0,0.0,0.0,,,
iv20,0.46825276195257715,face_mean_norms,jump.rhoE,0.008643023536896643,0.03322674875789731,0.37420548646023494,2.176825492637119,1.8160381741317644,1.5561770147386165
iv20,0.46825276195257715,face_mean_norms,M2.Fnum.rho,0.0014860529274476717,0.006229891257872484,0.07704349851285056,2.3149427438270416,1.944720336108377,1.369973121862434
iv20,0.46825276195257715,face_mean_norms,M2.Fnum.rhou,0.00390969092836155,0.012270478730802574,0.1340961932252718,2.228192724388361,1.9762542352866437,1.6622127560212412
iv20,0.46825276195257715,face_mean_norms,M2.Fnum.rhov,0.00392348619781897,0.012338178447451074,0.13458639622746174,2.225331092863209,1.9811916522225268,1.4976659756973756
iv20,0.46825276195257715,face_mean_norms,M2.Fnum.rhow,2.6050668240005214e-18,5.937213873046938e-18,5.563986687559967e-17,,,
iv20,0.46825276195257715,face_mean_norms,M2.Fnum.rhoE,0.009016910691443683,0.03527531231899664,0.3822791877034396,2.1663269115525057,1.783745362152524,1.4795143740570238
iv20,0.46825276195257715,face_mean_norms,Roe.Fnum.rho,0.001432460122758772,0.004687692946659572,0.04904766429103536,2.1983153047681863,1.9389936037722288,1.1370227204570362
iv20,0.46825276195257715,face_mean_norms,Roe.Fnum.rhou,0.002922062742701986,0.009556563851680671,0.12539215816818727,2.166807582694049,1.910503727048737,1.1398167565004713
iv20,0.46825276195257715,face_mean_norms,Roe.Fnum.rhov,0.002941291337950472,0.009492157621403386,0.10176188446750556,2.1489851300643634,1.9357666354406216,1.4796649295454938
iv20,0.46825276195257715,face_mean_norms,Roe.Fnum.rhow,2.6648650096489234e-18,6.04065889553412e-18,7.104951639620122e-17,,,
iv20,0.46825276195257715,face_mean_norms,Roe.Fnum.rhoE,0.0087929039558037,0.0298046607317906,0.30147719842459375,2.109037482340722,1.8368287214445502,1.218717528220588
iv40,0.23604019455678188,quadrature_norms,jump.rho,0.00021882894911845683,0.0009147815255777847,0.008830487140259247,2.749126760550498,2.7206735196607528,2.845097408017456
iv40,0.23604019455678188,quadrature_norms,jump.rhou,0.0005649662944176825,0.0018644834559536031,0.02134173820071994,2.764770378462346,2.6558140350169275,2.481535961882452
iv40,0.23604019455678188,quadrature_norms,jump.rhov,0.0005651365217183163,0.00185528070483806,0.021161525350944732,2.7657707809923444,2.6608676172435834,2.6574596396430064
iv40,0.23604019455678188,quadrature_norms,jump.rhow,0.0,0.0,0.0,,,
iv40,0.23604019455678188,quadrature_norms,jump.rhoE,0.0013554471380263602,0.0054513638513790695,0.06851689158367114,2.7049345193232184,2.639125516440074,2.509301361170799
iv40,0.23604019455678188,quadrature_norms,M2.Fnum.rho,0.00022388230175771664,0.0009579854271187888,0.011628574915133694,2.7632459890477272,2.7390312343183814,2.799961580626107
iv40,0.23604019455678188,quadrature_norms,M2.Fnum.rhou,0.0005856234872824876,0.0020003660520990455,0.029981213805076568,2.7717174840175978,2.6533081332689,2.285675777325018
iv40,0.23604019455678188,quadrature_norms,M2.Fnum.rhov,0.0005862086570914659,0.0019864065552184064,0.02967481354261059,2.775521491653618,2.6711990689220064,2.4133210094137576
iv40,0.23604019455678188,quadrature_norms,M2.Fnum.rhow,1.0133172087237874e-17,4.2779410847341953e-17,4.440892098500626e-16,,,
iv40,0.23604019455678188,quadrature_norms,M2.Fnum.rhoE,0.0014053487746622524,0.005796801508893074,0.09296585854789186,2.7139874295214406,2.6437589245419835,2.220271767664391
iv40,0.23604019455678188,quadrature_norms,Roe.Fnum.rho,0.00021870966420228742,0.0007573492916497564,0.009690438360235643,2.751482692538645,2.670870120286679,2.484494569256178
iv40,0.23604019455678188,quadrature_norms,Roe.Fnum.rhou,0.00044090336893430246,0.001579823694661652,0.02543729989643362,2.7649214163419735,2.640429416300998,2.432998734163862
iv40,0.23604019455678188,quadrature_norms,Roe.Fnum.rhov,0.0004411007764516776,0.0015684132079859553,0.02545555086732998,2.771142505582886,2.6414643625351837,2.1837008451893327
iv40,0.23604019455678188,quadrature_norms,Roe.Fnum.rhow,1.0298772196645186e-17,4.280114803054925e-17,4.440892098500626e-16,,,
iv40,0.23604019455678188,quadrature_norms,Roe.Fnum.rhoE,0.0013482142931980634,0.004997545762352943,0.08220727315317689,2.7424580222007626,2.6201378889162346,2.008219736315781
iv40,0.23604019455678188,face_mean_norms,jump.rho,0.0002187925268693999,0.0009145389252850483,0.008687070187258375,2.749258258370772,2.72057849459169,2.8341975475668635
iv40,0.23604019455678188,face_mean_norms,jump.rhou,0.0005648083848284429,0.0018640600563581133,0.020967459068028396,2.7650203324399096,2.655715626960519,2.4665897154938916
iv40,0.23604019455678188,face_mean_norms,jump.rhov,0.0005649567658338003,0.00185486516705997,0.02082670226872693,2.765926684138489,2.6607544514460653,2.6472224579870396
iv40,0.23604019455678188,face_mean_norms,jump.rhow,0.0,0.0,0.0,,,
iv40,0.23604019455678188,face_mean_norms,jump.rhoE,0.0013552007998385365,0.005449969970740768,0.06736724204039324,2.704797435752657,2.639020368387351,2.5031107249002624
iv40,0.23604019455678188,face_mean_norms,M2.Fnum.rho,0.00022384592244362902,0.00095630745639113,0.011093545251007574,2.7633633934215913,2.7357925680101007,2.8291815993583516
iv40,0.23604019455678188,face_mean_norms,M2.Fnum.rhou,0.0005854483365729932,0.0019973542693055594,0.029174079570617857,2.771998045010993,2.6501555921397224,2.226661483738881
iv40,0.23604019455678188,face_mean_norms,M2.Fnum.rhov,0.0005860038122255753,0.0019833847238956226,0.029087776067974712,2.775755553394277,2.668433847878979,2.2363132969265234
iv40,0.23604019455678188,face_mean_norms,M2.Fnum.rhow,2.451582580235153e-18,5.758002691542424e-18,5.258809294050412e-17,,,
iv40,0.23604019455678188,face_mean_norms,M2.Fnum.rhoE,0.0014050793964674746,0.005785242671963355,0.08250837688767357,2.7138559473309702,2.6392070893140085,2.23830313148959
iv40,0.23604019455678188,face_mean_norms,Roe.Fnum.rho,0.00021793967547233356,0.0007533877566948277,0.007490529893600805,2.748778751915307,2.6687582753911574,2.743264523763658
iv40,0.23604019455678188,face_mean_norms,Roe.Fnum.rhou,0.00043981765061299876,0.0015710496974133787,0.021503613194101212,2.7644786840505473,2.635719816010175,2.5740282157698644
iv40,0.23604019455678188,face_mean_norms,Roe.Fnum.rhov,0.00044014647643108977,0.001561108464318613,0.021457738389220816,2.772962648947719,2.63511483087692,2.272315820351092
iv40,0.23604019455678188,face_mean_norms,Roe.Fnum.rhow,2.460863982182149e-18,5.762135817666923e-18,5.258809294050412e-17,,,
iv40,0.23604019455678188,face_mean_norms,Roe.Fnum.rhoE,0.001343521013942348,0.004971415203792815,0.06531080757846566,2.742531994978173,2.614517076165849,2.2328805285654294
iv80,0.11856838008967348,quadrature_norms,jump.rho,2.8894262667992268e-05,0.00012341006417247914,0.001302440564036056,2.940611839651643,2.9094218112211054,2.7798637982644516
iv80,0.11856838008967348,quadrature_norms,jump.rhou,7.591992612698942e-05,0.00025495417542021134,0.0031695184954751987,2.9151069543299095,2.8897894814753213,2.769863529935305
iv80,0.11856838008967348,quadrature_norms,jump.rhov,7.588459828838913e-05,0.0002553393907333039,0.003181160522155224,2.9162205124215457,2.880410100331817,2.7522220192957594
iv80,0.11856838008967348,quadrature_norms,jump.rhow,0.0,0.0,0.0,,,
iv80,0.11856838008967348,quadrature_norms,jump.rhoE,0.0001812675729021215,0.000746992020337487,0.010478715948686101,2.922115594703214,2.8867555484351337,2.7272341467825862
iv80,0.11856838008967348,quadrature_norms,M2.Fnum.rho,2.953130120143577e-05,0.0001290231539126214,0.001670479881678677,2.9420967777801743,2.911844554819787,2.8181843412491934
iv80,0.11856838008967348,quadrature_norms,M2.Fnum.rhou,7.873928896818948e-05,0.0002734133607343552,0.004265370223509368,2.91430511291186,2.8904360571891305,2.832254551694643
iv80,0.11856838008967348,quadrature_norms,M2.Fnum.rhov,7.86906932939666e-05,0.0002735403738854758,0.0042653562476497875,2.9166523315378905,2.8795903927540185,2.8173397189716756
iv80,0.11856838008967348,quadrature_norms,M2.Fnum.rhow,1.0193375400377242e-17,4.121712390732014e-17,4.440892098500626e-16,,,
