x,T,u,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR,Y_N2
0.00000000e+00,2.35846647e+03,1.53275611e+01,1.01638867e-03,6.50922504e-05,4.01797966e-04,8.67840634e-03,4.94282206e-03,2.34906956e-01,1.82590759e-06,1.89886830e-07,-1.85246041e-76,7.49986521e-01
1.20000000e-02,2.35846647e+03,1.53275611e+01,1.01638867e-03,6.50922504e-05,4.01797966e-04,8.67840634e-03,4.94282206e-03,2.34906956e-01,1.82590759e-06,1.89886830e-07,-1.85246041e-76,7.49986521e-01
1.80000000e-02,2.35354869e+03,1.53016178e+01,1.05524131e-03,7.00654478e-05,4.28922371e-04,8.93831773e-03,5.08231798e-03,2.34436569e-01,1.90813885e-06,1.94110200e-07,-1.85246060e-76,7.49986464e-01
2.40000000e-02,2.34379544e+03,1.52501649e+01,1.13134257e-03,8.04428309e-05,4.85105801e-04,9.44802323e-03,5.35340828e-03,2.33513007e-01,2.07589600e-06,2.02519057e-07,-1.85246091e-76,7.49986392e-01
2.70000000e-02,2.33374455e+03,1.51969858e+01,1.20775659e-03,9.17655321e-05,5.45936751e-04,9.96642608e-03,5.62336173e-03,2.32575997e-01,2.25500710e-06,2.11241554e-07,-1.85246135e-76,7.49986290e-01
2.85000000e-02,2.32579181e+03,1.51547613e+01,1.26664935e-03,1.01144047e-04,5.96013408e-04,1.03719722e-02,5.82985525e-03,2.31845568e-01,2.40122008e-06,2.18201256e-07,-1.85246183e-76,7.49986178e-01
3.00000000e-02,2.31531027e+03,1.50990258e+01,1.34275444e-03,1.14113564e-04,6.64716783e-04,1.09003539e-02,6.09346549e-03,2.30895710e-01,2.60058544e-06,2.27501108e-07,-1.85246258e-76,7.49986057e-01
3.15000000e-02,2.30121403e+03,1.50238885e+01,1.44235869e-03,1.32607248e-04,7.61685722e-04,1.16010218e-02,6.43253578e-03,2.29640774e-01,2.88092431e-06,2.40280396e-07,-1.85246370e-76,7.49985896e-01
3.30000000e-02,2.28172027e+03,1.49196359e+01,1.57515277e-03,1.60099971e-04,9.03808754e-04,1.25531787e-02,6.87247201e-03,2.27946063e-01,3.29231104e-06,2.58565879e-07,-1.85246547e-76,7.49985673e-01
3.37500000e-02,2.26774117e+03,1.48444356e+01,1.66607269e-03,1.81001681e-04,1.01060904e-03,1.32247605e-02,7.16617486e-03,2.26762095e-01,3.60366767e-06,2.72144418e-07,-1.85246706e-76,7.49985410e-01
3.45000000e-02,2.25029561e+03,1.47503267e+01,1.77585904e-03,2.08583831e-04,1.14967653e-03,1.40501367e-02,7.50999331e-03,2.25316286e-01,4.01258206e-06,2.89763262e-07,-1.85246951e-76,7.49985163e-01
3.52500000e-02,2.22803865e+03,1.46297721e+01,1.90993474e-03,2.46059957e-04,1.33554522e-03,1.50847491e-02,7.91274038e-03,2.23521263e-01,4.56691193e-06,3.13457836e-07,-1.85247296e-76,7.49984827e-01
3.60000000e-02,2.19877429e+03,1.44704047e+01,2.07647341e-03,2.99044450e-04,1.59264630e-03,1.64171559e-02,8.38329945e-03,2.21241335e-01,5.35085868e-06,3.47019053e-07,-1.85247806e-76,7.49984347e-01
3.63750000e-02,2.17882771e+03,1.43608191e+01,2.18213081e-03,3.37073251e-04,1.77389916e-03,1.73081043e-02,8.66430517e-03,2.19744488e-01,5.91840511e-06,3.71636667e-07,-1.85248189e-76,7.49983709e-01
3.67500000e-02,2.15461904e+03,1.42272442e+01,2.30426838e-03,3.85602452e-04,2.00063876e-03,1.83718924e-02,8.96760262e-03,2.17979845e-01,6.64467809e-06,4.03834915e-07,-1.85248774e-76,7.49983102e-01
3.69375000e-02,2.13973139e+03,1.41444631e+01,2.37477091e-03,4.16345032e-04,2.14221184e-03,1.90170280e-02,9.13196818e-03,2.16927779e-01,7.10977755e-06,4.24999367e-07,-1.85249099e-76,7.49982362e-01
3.71250000e-02,2.12283989e+03,1.40502371e+01,2.45184690e-03,4.52305068e-04,2.30540184e-03,1.97409688e-02,9.30094085e-03,2.15758727e-01,7.65551947e-06,4.50490398e-07,-1.85249565e-76,7.49981704e-01
3.73125000e-02,2.10354069e+03,1.39421737e+01,2.53615528e-03,4.94748871e-04,2.49478314e-03,2.05584487e-02,9.47194152e-03,2.14454198e-01,8.30216117e-06,4.81752757e-07,-1.85250146e-76,7.49980941e-01
3.75000000e-02,2.08124534e+03,1.38167605e+01,2.62857468e-03,5.45488596e-04,2.71673066e-03,2.14909285e-02,9.64106181e-03,2.12987670e-01,9.07920030e-06,5.21059298e-07,-1.85250839e-76,7.49979946e-01
3.76875000e-02,2.05512879e+03,1.36690494e+01,2.73018737e-03,6.07132802e-04,2.97996043e-03,2.25683063e-02,9.80200062e-03,2.11323212e-01,1.00294560e-05,5.72080387e-07,-1.85251666e-76,7.49978599e-01
3.77812500e-02,2.03973820e+03,1.35813002e+01,2.78561214e-03,6.44109024e-04,3.13492655e-03,2.31956471e-02,9.87665734e-03,2.10374667e-01,1.06080716e-05,6.04914220e-07,-1.85252025e-76,7.49977168e-01
3.78750000e-02,2.02268071e+03,1.34836658e+01,2.84418810e-03,6.85913244e-04,3.30717075e-03,2.38847731e-02,9.94424464e-03,2.09346106e-01,1.12663338e-05,6.44049789e-07,-1.85252480e-76,7.49975694e-01
3.79687500e-02,2.00370346e+03,1.33746116e+01,2.90604058e-03,7.33468583e-04,3.49928796e-03,2.46443037e-02,1.00016686e-02,2.08228445e-01,1.20197817e-05,6.91347130e-07,-1.85253047e-76,7.49974075e-01
3.80625000e-02,1.98244173e+03,1.32518871e+01,2.97126586e-03,7.88010738e-04,3.71466050e-03,2.54868525e-02,1.00445981e-02,2.07008834e-01,1.28902863e-05,7.49575466e-07,-1.85253710e-76,7.49972139e-01
3.81562500e-02,1.95840330e+03,1.31124339e+01,3.03989888e-03,8.51205208e-04,3.95759981e-03,2.64293769e-02,1.00669766e-02,2.05670508e-01,1.39080912e-05,8.22918702e-07,-1.85254451e-76,7.49969703e-01
3.82500000e-02,1.93092211e+03,1.29520882e+01,3.11185185e-03,9.25337872e-04,4.23357683e-03,2.74947894e-02,1.00601548e-02,2.04191716e-01,1.51158638e-05,9.17924596e-07,-1.85255261e-76,7.49966539e-01
3.83437500e-02,1.89907473e+03,1.27650371e+01,3.18681996e-03,1.01362722e-03,4.54943809e-03,2.87152230e-02,1.00115261e-02,2.02543458e-01,1.65758991e-05,1.04532479e-06,-1.85256121e-76,7.49962286e-01
3.83906250e-02,1.88061169e+03,1.26556945e+01,3.22532961e-03,1.06531941e-03,4.72791869e-03,2.94176084e-02,9.96209780e-03,2.01624721e-01,1.74531377e-05,1.12877241e-06,-1.85256319e-76,7.49958423e-01
3.84375000e-02,1.86027506e+03,1.25346653e+01,3.26448857e-03,1.12290365e-03,4.92082866e-03,3.01899125e-02,9.89147437e-03,2.00637118e-01,1.84481955e-05,1.22992915e-06,-1.85256420e-76,7.49953596e-01
3.84843750e-02,1.83778161e+03,1.24001336e+01,3.30449320e-03,1.18737821e-03,5.12903387e-03,3.10481899e-02,9.79425000e-03,1.99568390e-01,1.95882816e-05,1.35428143e-06,-1.85256392e-76,7.49947323e-01
3.85312500e-02,1.81273350e+03,1.22495114e+01,3.34610647e-03,1.25992570e-03,5.35280588e-03,3.20216224e-02,9.66243551e-03,1.98396358e-01,2.09156950e-05,1.50978834e-06,-1.85256072e-76,7.49938321e-01
3.85781250e-02,1.78458508e+03,1.20792072e+01,3.39161706e-03,1.34182895e-03,5.59073896e-03,3.31657114e-02,9.48389576e-03,1.97078150e-01,2.25001550e-05,1.70813000e-06,-1.85255053e-76,7.49923849e-01
3.86250000e-02,1.75257428e+03,1.18841450e+01,3.44720985e-03,1.43414248e-03,5.83768383e-03,3.45923928e-02,9.23966257e-03,1.95524395e-01,2.44658288e-05,1.96660041e-06,-1.85252393e-76,7.49898081e-01
3.86484375e-02,1.73445676e+03,1.17727956e+01,3.48530022e-03,1.48428376e-03,5.95983349e-03,3.55293872e-02,9.07741682e-03,1.94563947e-01,2.57040383e-05,2.12862521e-06,-1.85249228e-76,7.49871999e-01
3.86718750e-02,1.71473802e+03,1.16508896e+01,3.53503157e-03,1.53665287e-03,6.07722827e-03,3.66827763e-02,8.88212987e-03,1.93423523e-01,2.71793451e-05,2.31823093e-06,-1.85244120e-76,7.49833161e-01
3.86953125e-02,1.69315923e+03,1.15166291e+01,3.60380806e-03,1.59034355e-03,6.18432972e-03,3.81516956e-02,8.64566284e-03,1.92016950e-01,2.89855382e-05,2.54129755e-06,-1.85235979e-76,7.49775683e-01
3.87187500e-02,1.66936687e+03,1.13675496e+01,3.70310070e-03,1.64371097e-03,6.27317155e-03,4.00832674e-02,8.35777700e-03,1.90213912e-01,3.12637342e-05,2.80528346e-06,-1.85223113e-76,7.49690991e-01
3.87421875e-02,1.64287914e+03,1.12002884e+01,3.85037026e-03,1.69397855e-03,6.33247996e-03,4.26925372e-02,8.00618744e-03,1.87820060e-01,3.42249755e-05,3.11982426e-06,-1.85202899e-76,7.49567042e-01
3.87656250e-02,1.61303918e+03,1.10102686e+01,4.07146944e-03,1.73673379e-03,6.34666417e-03,4.62853339e-02,7.57711711e-03,1.84553165e-01,3.81789016e-05,3.49761083e-06,-1.85171342e-76,7.49387840e-01
3.87890625e-02,1.57895622e+03,1.07913118e+01,4.40316443e-03,1.76537761e-03,6.29494121e-03,5.12781869e-02,7.05653604e-03,1.80020301e-01,4.35627832e-05,3.95529831e-06,-1.85122537e-76,7.49133974e-01
3.88007812e-02,1.55971110e+03,1.06665653e+01,4.63105406e-03,1.77074417e-03,6.23206392e-03,5.45741710e-02,6.75396498e-03,1.77028474e-01,4.70661026e-05,4.22497615e-06,-1.85086978e-76,7.48958237e-01
3.88125000e-02,1.53880056e+03,1.05303050e+01,4.90826930e-03,1.76864921e-03,6.13965034e-03,5.84832153e-02,6.42301335e-03,1.73471934e-01,5.12124931e-05,4.52615747e-06,-1.85042255e-76,7.48749530e-01
3.88242188e-02,1.51601253e+03,1.03811001e+01,5.24320352e-03,1.75750126e-03,6.01221735e-03,6.30870410e-02,6.06368274e-03,1.69267792e-01,5.61041710e-05,4.86315232e-06,-1.84986590e-76,7.48507595e-01
3.88359375e-02,1.49111164e+03,1.02173757e+01,5.64449044e-03,1.73565053e-03,5.84387712e-03,6.84643773e-02,5.67657923e-03,1.64334387e-01,6.18475834e-05,5.24009016e-06,-1.84918178e-76,7.48233551e-01
3.88476563e-02,1.46384457e+03,1.00374598e+01,6.12048418e-03,1.70148968e-03,5.62879251e-03,7.46823609e-02,5.26325362e-03,1.58598501e-01,6.85483902e-05,5.66063293e-06,-1.84835348e-76,7.47930909e-01
3.88593750e-02,1.43394911e+03,9.83965575e+00,6.67855536e-03,1.65359357e-03,5.36185382e-03,8.17856272e-02,4.82649263e-03,1.52004822e-01,7.63052273e-05,6.12879251e-06,-1.84736844e-76,7.47606622e-01
3.88710938e-02,1.40116734e+03,9.62234262e+00,7.32423015e-03,1.59089408e-03,5.03960661e-03,8.97835965e-02,4.37057625e-03,1.44527177e-01,8.52025339e-05,6.65397125e-06,-1.84622278e-76,7.47272063e-01
3.88769531e-02,1.38355133e+03,9.50541679e+00,7.68154919e-03,1.55374460e-03,4.85651083e-03,9.41253874e-02,4.13736681e-03,1.40444759e-01,9.01252940e-05,6.95148834e-06,-1.84558089e-76,7.47103606e-01
3.88828125e-02,1.36508796e+03,9.38280553e+00,8.06194228e-03,1.51271062e-03,4.65900749e-03,9.86828110e-02,3.90179988e-03,1.36140810e-01,9.53731263e-05,7.28195680e-06,-1.84489756e-76,7.46938263e-01
3.88886719e-02,1.34575564e+03,9.25440417e+00,8.46515716e-03,1.46785050e-03,4.44763470e-03,1.03439007e-01,3.66515400e-03,1.31626914e-01,1.00953092e-04,7.66072537e-06,-1.84417865e-76,7.46779668e-01
3.88945313e-02,1.32553638e+03,9.12013423e+00,8.89066609e-03,1.41928015e-03,4.22323399e-03,1.08373033e-01,3.42885960e-03,1.26918303e-01,1.06872586e-04,8.11129831e-06,-1.84343198e-76,7.46631641e-01
3.89003906e-02,1.30441645e+03,8.97994705e+00,9.33765623e-03,1.36717576e-03,3.98698354e-03,1.13459844e-01,3.19449885e-03,1.22033895e-01,1.13140497e-04,8.66805395e-06,-1.84266753e-76,7.46498138e-01
3.89062500e-02,1.28238690e+03,8.83382626e+00,9.80502966e-03,1.31177481e-03,3.74041635e-03,1.18670483e-01,2.96379368e-03,1.16996183e-01,1.19768440e-04,9.37903018e-06,-1.84189749e-76,7.46383172e-01
3.89121094e-02,1.25944405e+03,8.68178900e+00,1.02914142e-02,1.25337487e-03,3.48542157e-03,1.23972493e-01,2.73858129e-03,1.11830939e-01,1.26772282e-04,1.03084734e-05,-1.84113633e-76,7.46290695e-01
